Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
vegetarian fillets,247,19.6,15.3,7.7,130.3
biscuit with egg sausage,505,18.0,33.6,34.1,171.757
chicken chow mein,513,40.8,16.9,50.1,256.797
fruit burrito,231,2.5,9.5,35.0,64.3
arroz con leche,369,8.1,9.3,63.0,310.0
caramel custard flan,444,13.9,12.3,69.7,351.2
gelatin dessert,167,3.3,0.0,38.3,49.792
chocolate milk dessert,229,5.9,1.4,51.6,270.99
chocolate mousse,338,6.2,24.0,24.1,200.4
dulce de leche,60,1.3,1.4,10.5,61.415
apple crisp,454,4.9,9.7,87.0,212.724
spinach spaghetti cooked,182,6.4,0.9,36.6,87.4
corn pasta cooked,176,3.7,1.0,39.1,52.3
spaghetti with meat sauce,255,14.3,2.9,43.1,135.1
pasta with meatballs in tomato sauce,273,10.6,13.0,28.3,100.474
cheese tortellini,332,14.6,7.8,50.8,241.181
pasta with sliced franks in tomato sauce,227,11.0,6.0,32.0,216.154
lasagna,166,9.0,6.1,18.9,36.675
macaroni cheese,310,12.6,9.4,43.7,68.319
vegetable lasagna,316,15.6,13.7,32.2,410.066
spinach egg noodles cooked,211,8.1,2.5,38.8,85.297
cheese lasagna,316,15.9,13.0,33.6,381.08
pasta with tomato sauce,176,5.6,1.8,35.1,45.091
spinach pasta cooked,37,1.4,0.3,7.1,14.201
vegetable chicken soup,166,12.3,4.8,21.1,72.737
bean ham soup,198,10.3,2.5,33.5,154.4
cream of chicken soup,227,6.0,14.5,18.0,76.9
tomato soup canned,139,6.3,3.3,22.6,224.932
egg drop soup,65,2.8,1.5,10.3,48.808
scotch broth,197,12.1,6.4,23.0,84.4
cream of onion soup,268,6.7,12.8,31.7,139.473
chicken broth dry,10,0.7,0.2,1.1,11.198
vegetable soup with beef broth,162,6.0,3.8,26.3,80.5
chili with beans canned,287,14.6,14.1,30.5,204.0
beef noodle soup,168,9.6,6.2,17.9,68.232
consomme dry,17,2.2,0.2,1.9,17.2
chicken mushroom soup,126,2.0,6.1,15.1,57.171
beef vegetable soup,120,8.0,2.9,15.4,84.9
